model_id,chunk_tokens,sequence_length,phase,mode,family,chunk_index,token_index,layer_index,atom_index,trace_interval_index,start_time_ms,end_time_ms,duration_ms
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,7,2,13,106695366.92619798,106695367.07467797,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,7,3,13,106695367.07467797,106695367.22315797,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,7,4,14,106695367.275288,106695367.423768,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,7,5,14,106695367.423768,106695367.572248,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,8,0,14,106695367.572248,106695367.720728,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,8,1,14,106695367.720728,106695367.869208,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,8,2,14,106695367.869208,106695368.01768799,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,8,3,14,106695368.01768799,106695368.16616799,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,8,4,14,106695368.16616799,106695368.31464799,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,8,5,14,106695368.31464799,106695368.46312799,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,9,0,14,106695368.46312799,106695368.61160798,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,9,1,14,106695368.61160798,106695368.76008798,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,9,2,14,106695368.76008798,106695368.90856798,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,9,3,14,106695368.90856798,106695369.05704798,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,9,4,14,106695369.05704798,106695369.20552798,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,9,5,14,106695369.20552798,106695369.35400797,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,10,0,14,106695369.35400797,106695369.50248797,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,10,1,14,106695369.50248797,106695369.65096797,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,10,2,14,106695369.65096797,106695369.79944797,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,10,3,14,106695369.79944797,106695369.94792797,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,10,4,14,106695369.94792797,106695370.09640796,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,10,5,14,106695370.09640796,106695370.24488796,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,11,0,14,106695370.24488796,106695370.39336796,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,11,1,14,106695370.39336796,106695370.54184796,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,11,2,14,106695370.54184796,106695370.69032796,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,11,3,14,106695370.69032796,106695370.83880796,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,11,4,14,106695370.83880796,106695370.98728795,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,9.0,,11,5,14,106695370.98728795,106695371.13576795,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,0,0,14,106695371.13576795,106695371.28424795,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,0,1,14,106695371.28424795,106695371.43272795,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,0,2,14,106695371.43272795,106695371.58120795,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,0,3,14,106695371.58120795,106695371.72968794,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,0,4,14,106695371.72968794,106695371.87816794,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,0,5,14,106695371.87816794,106695372.02664794,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,1,0,14,106695372.02664794,106695372.17512794,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,1,1,14,106695372.17512794,106695372.32360794,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,1,2,14,106695372.32360794,106695372.47208793,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,1,3,14,106695372.47208793,106695372.62056793,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,1,4,14,106695372.62056793,106695372.76904793,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,1,5,14,106695372.76904793,106695372.91752793,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,2,0,14,106695372.91752793,106695373.06600793,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,2,1,14,106695373.06600793,106695373.21448793,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,2,2,14,106695373.21448793,106695373.36296792,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,2,3,14,106695373.36296792,106695373.51144792,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,2,4,14,106695373.51144792,106695373.65992792,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,2,5,14,106695373.65992792,106695373.80840792,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,3,0,14,106695373.80840792,106695373.95688792,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,3,1,14,106695373.95688792,106695374.10536791,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,3,2,14,106695374.10536791,106695374.25384791,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,3,3,14,106695374.25384791,106695374.40232791,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,3,4,14,106695374.40232791,106695374.55080791,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,3,5,14,106695374.55080791,106695374.6992879,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,4,0,14,106695374.6992879,106695374.8477679,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,4,1,14,106695374.8477679,106695374.9962479,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,4,2,14,106695374.9962479,106695375.1447279,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,4,3,14,106695375.1447279,106695375.2932079,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,4,4,14,106695375.2932079,106695375.4416879,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,4,5,14,106695375.4416879,106695375.5901679,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,5,0,14,106695375.5901679,106695375.7386479,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,5,1,14,106695375.7386479,106695375.88712789,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,5,2,14,106695375.88712789,106695376.03560789,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,5,3,14,106695376.03560789,106695376.18408789,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,5,4,14,106695376.18408789,106695376.33256789,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,5,5,14,106695376.33256789,106695376.48104788,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,6,0,14,106695376.48104788,106695376.62952788,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,6,1,14,106695376.62952788,106695376.77800788,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,6,2,14,106695376.77800788,106695376.92648788,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,6,3,14,106695376.92648788,106695377.07496788,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,6,4,14,106695377.07496788,106695377.22344787,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,6,5,14,106695377.22344787,106695377.37192787,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,7,0,14,106695377.37192787,106695377.52040787,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,7,1,14,106695377.52040787,106695377.66888787,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,7,2,14,106695377.66888787,106695377.81736787,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,7,3,14,106695377.81736787,106695377.96584786,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,7,4,14,106695377.96584786,106695378.11432786,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,7,5,14,106695378.11432786,106695378.26280786,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,8,0,14,106695378.26280786,106695378.41128786,0.14847999811172485
facebook/opt-125m,64,1024,prefill,prefill,prefill_gemm,10.0,,8,1,14,106695378.41128786,106695378.55976786,0.14847999811172485
